date,hour,type,1010A
20220205,4,PM2.5,7
20220205,5,PM2.5,7
20220205,6,PM2.5,7
20220205,7,PM2.5,7
20220205,8,PM2.5,7
20220205,9,PM2.5,8
20220205,10,PM2.5,8
20220205,11,PM2.5,10
20220205,12,PM2.5,9
20220205,13,PM2.5,8
20220205,14,PM2.5,8
20220205,15,PM2.5,7
20220205,16,PM2.5,7
20220205,17,PM2.5,7
20220205,18,PM2.5,8
20220205,19,PM2.5,10
20220205,20,PM2.5,15
20220205,21,PM2.5,12
20220205,22,PM2.5,8
20220205,23,PM2.5,6
20220206,0,PM2.5,5
20220206,1,PM2.5,5
20220206,2,PM2.5,5
20220206,3,PM2.5,5
20220206,4,PM2.5,4
20220206,5,PM2.5,5
20220206,6,PM2.5,5
20220206,7,PM2.5,5
20220206,8,PM2.5,6
20220206,9,PM2.5,7
20220206,10,PM2.5,7
20220206,11,PM2.5,7
20220206,12,PM2.5,8
20220206,13,PM2.5,7
20220206,14,PM2.5,6
20220206,15,PM2.5,7
20220206,16,PM2.5,7
20220206,17,PM2.5,8
20220206,18,PM2.5,10
20220206,19,PM2.5,16
20220206,20,PM2.5,16
20220206,21,PM2.5,12
20220206,22,PM2.5,6
20220206,23,PM2.5,7
20220207,0,PM2.5,9
20220207,1,PM2.5,8
20220207,2,PM2.5,8
20220207,3,PM2.5,11
20220207,4,PM2.5,11
20220207,5,PM2.5,10
20220207,6,PM2.5,9
20220207,7,PM2.5,9
20220207,8,PM2.5,11
20220207,9,PM2.5,11
20220207,10,PM2.5,8
20220207,11,PM2.5,7
20220207,12,PM2.5,6
20220207,13,PM2.5,6
20220207,14,PM2.5,5
20220207,15,PM2.5,5
20220207,16,PM2.5,6
20220207,17,PM2.5,6
20220207,18,PM2.5,8
20220207,19,PM2.5,13
20220207,20,PM2.5,19
20220207,21,PM2.5,10
20220207,22,PM2.5,9
20220207,23,PM2.5,10
20220208,0,PM2.5,8
20220208,1,PM2.5,9
20220208,2,PM2.5,8
20220208,3,PM2.5,10
20220208,4,PM2.5,11
20220208,5,PM2.5,11
20220208,6,PM2.5,11
20220208,7,PM2.5,11
20220208,8,PM2.5,10
20220208,9,PM2.5,10
20220208,10,PM2.5,9
20220208,11,PM2.5,8
20220208,12,PM2.5,7
20220208,13,PM2.5,5
20220208,14,PM2.5,5
20220208,15,PM2.5,4
20220208,16,PM2.5,5
20220208,17,PM2.5,10
20220208,18,PM2.5,13
20220208,19,PM2.5,17
20220208,20,PM2.5,22
20220208,21,PM2.5,19
20220208,22,PM2.5,16
20220208,23,PM2.5,16
20220209,0,PM2.5,16
20220209,1,PM2.5,16
20220209,2,PM2.5,16
20220209,3,PM2.5,16
20220209,4,PM2.5,17
20220209,5,PM2.5,17
20220209,6,PM2.5,18
20220209,7,PM2.5,18
20220209,8,PM2.5,20
20220209,9,PM2.5,25
20220209,10,PM2.5,27
20220209,11,PM2.5,27
20220209,12,PM2.5,26
20220209,13,PM2.5,24
20220209,14,PM2.5,23
20220209,15,PM2.5,24
20220209,16,PM2.5,26
20220209,17,PM2.5,30
20220209,18,PM2.5,34
20220209,19,PM2.5,38
20220209,20,PM2.5,40
20220209,21,PM2.5,35
20220209,22,PM2.5,34
20220209,23,PM2.5,38
20220210,0,PM2.5,39
20220210,1,PM2.5,41
20220210,2,PM2.5,46
